business_id,BusinessName,City,PostalCd,latitude,longitude,StarRating,NumReviews,Close-Open,Categories
I3yiknZLxXVIjYp4WmLz2w,Petrini's Restaurant,Goleta,93117,34.4411637,-119.8225584,3,73,0,"American (New), Italian, Restaurants, Pizza"
VOcGcN0bvGU_nzxbJgR5jQ,Bettina,Santa Barbara,93108,34.4225616,-119.6517163,4.5,311,1,"Restaurants, Italian, Pizza"
DOfiulOub9hVPBCtiDl9Fw,Lucky Penny,Santa Barbara,93101,34.414643,-119.690235,4,643,1,"American (New), Breakfast & Brunch, Restaurants, Salad, Italian, Nightlife, Bars, Beer, Wine & Spirits, Sandwiches, Coffee & Tea, Wine Bars, Food, Pizza"
HJ_rOClY2RPrdervYopKmQ,Mosto,Santa Barbara,93101,34.416454,-119.695668,4,96,0,"Nightlife, Bars, Tapas/Small Plates, Spanish, Restaurants, Coffee & Tea, Cafes, Food, Italian, Wine Bars, Tapas Bars, Burgers"
TCWnTa69sJ3vGQsdEe3Esw,Uncle Roccos Famous NY Pizza,Santa Barbara,93101,34.4165849,-119.6955333,2.5,317,1,"Pizza, Italian, Fast Food, Restaurants"
ByKCIpZWHYUTuCJcoZ-ONQ,Giovanni's,Goleta,93117,34.4129008,-119.8578105,4,87,0,"Salad, Sandwiches, Restaurants, Pizza, Italian"
HOXbILWYZJkNUYYzYK_tZA,Arnoldi's Cafe,Santa Barbara,93101,34.4232597,-119.691138,4,291,1,"Breakfast & Brunch, Bocce Ball, Event Planning & Services, Beer, Wine & Spirits, Venues & Event Spaces, Italian, Active Life, Food, Wedding Planning, Restaurants"
jh40gx3wcYX0NL_i2Dip-A,Sal's Pizza,Santa Barbara,93103,34.4302529,-119.6903156,3.5,80,0,"Chicken Wings, Restaurants, Italian, Pizza"
Ji3XN5gL1aBlbhtFEGpMFA,Mollie's,Santa Barbara,93101,34.42390028,-119.7049458,3.5,135,0,"Italian, Pizza, Restaurants"
i5C6RVgr03HSrgCl8oa1Fg,Patxi's Pizza,Santa Barbara,93101,34.417115,-119.696243,4,730,1,"Salad, Restaurants, Pizza, Sandwiches, Italian"
9Vrm13HIdHS41uzroVMQ2Q,Piatti Ristorante & Bar,Montecito,93108,34.437422,-119.631508,3.5,27,0,"Event Planning & Services, Italian, Venues & Event Spaces, Pizza, Restaurants"
lNkxXDcNoHBpWDNPoZesYw,Caruso's,Montecito,93108,34.4205315,-119.6281158,4,88,1,"Vegan, Restaurants, Italian"
4D7QDfPOsSPfKxBi3gs_qQ,Olio Pizzeria,Santa Barbara,93101,34.4238136,-119.7060451,4,622,1,"Pizza, Nightlife, Italian, Restaurants, Bars"
TYVln68leW7BYuVksFyB5A,Sevilla,Santa Barbara,93101,34.4155929,-119.696034,4,12,0,"Italian, American (New), Tapas Bars, Latin American, Restaurants"
54oLdsGU9B8HxFTqCCqV-A,Via Maestra 42,Santa Barbara,93105,34.44007621,-119.7363232,4.5,589,1,"Caterers, Italian, Restaurants, Delis, Event Planning & Services"
PgtqA056auCp5EbcZMbXPQ,Trattoria Mollie,Santa Barbara,93108,34.4213978,-119.6423909,3.5,204,0,"Food, Restaurants, Desserts, Wine Bars, Bars, Italian, Nightlife"
Qkg16mN-8QR66gjzg6gMyw,Convivo Restaurant and Bar,Santa Barbara,93103,34.417321,-119.672226,4,445,1,"Bars, Mediterranean, Restaurants, Nightlife, Moroccan, Event Planning & Services, Venues & Event Spaces, Italian"
HrnSaz2f1WUEoAQQ6iD6gw,Lemon Tree Inn,Santa Barbara,93105,34.43822593,-119.7250354,2.5,270,1,"Restaurants, Nightlife, Hotels & Travel, Hotels, Italian, Event Planning & Services"
